state,year,month,blood_type,donations
Johor,2019,1,a,1017
Johor,2019,1,ab,220
Johor,2019,1,all,4071
Johor,2019,1,b,1113
Johor,2019,1,o,1721
Johor,2019,2,a,846
Johor,2019,2,ab,168
Johor,2019,2,all,3171
Johor,2019,2,b,837
Johor,2019,2,o,1320
Johor,2019,3,a,984
Johor,2019,3,ab,170
Johor,2019,3,all,3918
Johor,2019,3,b,1048
Johor,2019,3,o,1716
Johor,2019,4,a,775
Johor,2019,4,ab,177
Johor,2019,4,all,3227
Johor,2019,4,b,890
Johor,2019,4,o,1385
Johor,2019,5,a,776
Johor,2019,5,ab,157
Johor,2019,5,all,3078
Johor,2019,5,b,815
Johor,2019,5,o,1330
Johor,2019,6,a,663
Johor,2019,6,ab,145
Johor,2019,6,all,2691
Johor,2019,6,b,705
Johor,2019,6,o,1178
Johor,2019,7,a,974
Johor,2019,7,ab,190
Johor,2019,7,all,3913
Johor,2019,7,b,1042
Johor,2019,7,o,1707
Johor,2019,8,a,924
Johor,2019,8,ab,205
Johor,2019,8,all,3701
Johor,2019,8,b,952
Johor,2019,8,o,1620
Johor,2019,9,a,944
Johor,2019,9,ab,196
Johor,2019,9,all,3887
Johor,2019,9,b,1036
Johor,2019,9,o,1711
Johor,2019,10,a,821
Johor,2019,10,ab,143
Johor,2019,10,all,3252
Johor,2019,10,b,877
Johor,2019,10,o,1411
Johor,2019,11,a,735
Johor,2019,11,ab,192
Johor,2019,11,all,3134
Johor,2019,11,b,863
Johor,2019,11,o,1344
Johor,2019,12,a,818
Johor,2019,12,ab,165
Johor,2019,12,all,3218
Johor,2019,12,b,865
Johor,2019,12,o,1370
Johor,2020,1,a,850
Johor,2020,1,ab,212
Johor,2020,1,all,3485
Johor,2020,1,b,983
Johor,2020,1,o,1440
Johor,2020,2,a,853
Johor,2020,2,ab,182
Johor,2020,2,all,3498
Johor,2020,2,b,987
Johor,2020,2,o,1476
Johor,2020,3,a,856
Johor,2020,3,ab,105
Johor,2020,3,all,3366
Johor,2020,3,b,849
Johor,2020,3,o,1556
Johor,2020,4,a,612
Johor,2020,4,ab,133
Johor,2020,4,all,2610
Johor,2020,4,b,659
Johor,2020,4,o,1206
Johor,2020,5,a,819
Johor,2020,5,ab,180
Johor,2020,5,all,3242
Johor,2020,5,b,841
Johor,2020,5,o,1402
Johor,2020,6,a,976
Johor,2020,6,ab,200
Johor,2020,6,all,4002
Johor,2020,6,b,1064
Johor,2020,6,o,1762
Johor,2020,7,a,834
Johor,2020,7,ab,194
Johor,2020,7,all,3265
Johor,2020,7,b,846
Johor,2020,7,o,1391
Johor,2020,8,a,894
Johor,2020,8,ab,204
Johor,2020,8,all,3848
Johor,2020,8,b,1089
Johor,2020,8,o,1661
Johor,2020,9,a,829
Johor,2020,9,ab,183
Johor,2020,9,all,3602
Johor,2020,9,b,985
Johor,2020,9,o,1605
Johor,2020,10,a,878
Johor,2020,10,ab,156
Johor,2020,10,all,3436
Johor,2020,10,b,977
Johor,2020,10,o,1425
Johor,2020,11,a,784
Johor,2020,11,ab,183
Johor,2020,11,all,3216
Johor,2020,11,b,872
Johor,2020,11,o,1377
Johor,2020,12,a,739
Johor,2020,12,ab,161
Johor,2020,12,all,3135
Johor,2020,12,b,844
Johor,2020,12,o,1391
Johor,2021,1,a,739
Johor,2021,1,ab,165
Johor,2021,1,all,3288
Johor,2021,1,b,918
Johor,2021,1,o,1466
Johor,2021,2,a,823
Johor,2021,2,ab,178
Johor,2021,2,all,3354
Johor,2021,2,b,898
Johor,2021,2,o,1455
Johor,2021,3,a,894
Johor,2021,3,ab,201
Johor,2021,3,all,3645
Johor,2021,3,b,982
Johor,2021,3,o,1568
Johor,2021,4,a,694
Johor,2021,4,ab,152
Johor,2021,4,all,2809
Johor,2021,4,b,729
Johor,2021,4,o,1234
Johor,2021,5,a,882
Johor,2021,5,ab,215
Johor,2021,5,all,3676
Johor,2021,5,b,973
Johor,2021,5,o,1606
Johor,2021,6,a,871
Johor,2021,6,ab,180
Johor,2021,6,all,3530
Johor,2021,6,b,938
Johor,2021,6,o,1541
Johor,2021,7,a,707
Johor,2021,7,ab,174
Johor,2021,7,all,2975
Johor,2021,7,b,797
Johor,2021,7,o,1297
Johor,2021,8,a,767
Johor,2021,8,ab,176
Johor,2021,8,all,3126
Johor,2021,8,b,844
Johor,2021,8,o,1339
Johor,2021,9,a,812
Johor,2021,9,ab,182
Johor,2021,9,all,3467
Johor,2021,9,b,947
Johor,2021,9,o,1526
Johor,2021,10,a,873
Johor,2021,10,ab,175
Johor,2021,10,all,3636
Johor,2021,10,b,997
Johor,2021,10,o,1591
Johor,2021,11,a,866
Johor,2021,11,ab,219
Johor,2021,11,all,3467
Johor,2021,11,b,928
Johor,2021,11,o,1454
Johor,2021,12,a,817
Johor,2021,12,ab,145
Johor,2021,12,all,3436
Johor,2021,12,b,919
Johor,2021,12,o,1555
Johor,2022,1,a,890
Johor,2022,1,ab,219
Johor,2022,1,all,3617
Johor,2022,1,b,974
Johor,2022,1,o,1534
Johor,2022,2,a,687
Johor,2022,2,ab,133
Johor,2022,2,all,2842
Johor,2022,2,b,741
Johor,2022,2,o,1281
Johor,2022,3,a,899
Johor,2022,3,ab,192
Johor,2022,3,all,3718
Johor,2022,3,b,990
Johor,2022,3,o,1637
Johor,2022,4,a,750
Johor,2022,4,ab,154
Johor,2022,4,all,2894
Johor,2022,4,b,763
Johor,2022,4,o,1227
Johor,2022,5,a,1041
Johor,2022,5,ab,224
Johor,2022,5,all,4028
Johor,2022,5,b,1032
Johor,2022,5,o,1731
Johor,2022,6,a,1019
Johor,2022,6,ab,200
Johor,2022,6,all,4177
Johor,2022,6,b,1150
Johor,2022,6,o,1808
Johor,2022,7,a,814
Johor,2022,7,ab,163
Johor,2022,7,all,3387
Johor,2022,7,b,902
Johor,2022,7,o,1508
Johor,2022,8,a,953
Johor,2022,8,ab,193
Johor,2022,8,all,3770
Johor,2022,8,b,1034
Johor,2022,8,o,1590
Johor,2022,9,a,823
Johor,2022,9,ab,117
Johor,2022,9,all,3421
Johor,2022,9,b,932
Johor,2022,9,o,1549
Johor,2022,10,a,1032
Johor,2022,10,ab,229
Johor,2022,10,all,4142
Johor,2022,10,b,1123
Johor,2022,10,o,1758
Johor,2022,11,a,800
Johor,2022,11,ab,178
Johor,2022,11,all,3309
Johor,2022,11,b,922
Johor,2022,11,o,1409
Johor,2022,12,a,842
Johor,2022,12,ab,142
Johor,2022,12,all,3527
Johor,2022,12,b,1007
Johor,2022,12,o,1536
Johor,2023,1,a,880
Johor,2023,1,ab,191
Johor,2023,1,all,3666
Johor,2023,1,b,1024
Johor,2023,1,o,1571
Johor,2023,2,a,893
Johor,2023,2,ab,197
Johor,2023,2,all,3636
Johor,2023,2,b,980
Johor,2023,2,o,1566
Johor,2023,3,a,862
Johor,2023,3,ab,174
Johor,2023,3,all,3591
Johor,2023,3,b,958
Johor,2023,3,o,1597
Johor,2023,4,a,689
Johor,2023,4,ab,144
Johor,2023,4,all,2871
Johor,2023,4,b,711
Johor,2023,4,o,1327
Johor,2023,5,a,1117
Johor,2023,5,ab,240
Johor,2023,5,all,4399
Johor,2023,5,b,1160
Johor,2023,5,o,1882
Johor,2023,6,a,903
Johor,2023,6,ab,173
Johor,2023,6,all,3757
Johor,2023,6,b,991
Johor,2023,6,o,1690
Johor,2023,7,a,908
Johor,2023,7,ab,183
Johor,2023,7,all,3743
Johor,2023,7,b,990
Johor,2023,7,o,1662
Johor,2023,8,a,888
Johor,2023,8,ab,182
Johor,2023,8,all,3645
Johor,2023,8,b,1013
Johor,2023,8,o,1562
Johor,2023,9,a,848
Johor,2023,9,ab,185
Johor,2023,9,all,3404
Johor,2023,9,b,847
Johor,2023,9,o,1524
Johor,2023,10,a,896
Johor,2023,10,ab,186
Johor,2023,10,all,3621
Johor,2023,10,b,956
Johor,2023,10,o,1583
Johor,2023,11,a,815
Johor,2023,11,ab,213
Johor,2023,11,all,3453
